Tank,ColorID,ID,Temp,Treatment,Trial,Trial_date,Length,Weight,Notes,Ethovision_trial,DistMove,TimeMove,TimeNotMove,FreqArena,TimeArena,FreqPartial,TimePartial
C_14_4,Pink,C_14_4_Pink,14,control,Pre1,16/02/2024,8.1,5.8,,17,2104.82,268.434,110.277,19,384.05,38,99.933
C_14_4,Pink,C_14_4_Pink,14,control,Pre2,19/02/2024,8.1,5.8,,26,2686.48,291.291,16.1828,35,315.648,61,88.9221
C_14_4,Pink,C_14_4_Pink,14,control,Pre3,22/02/2024,8.1,5.8,,25,2247.6,260.093,34.0339,31,301.634,54,80.7472
C_14_4,Pink,C_14_4_Pink,14,control,Pre4,25/02/2024,8.1,5.8,,96,2574.99,306.305,79.2457,23,391.223,41,113.613
C_14_4,Pink,C_14_4_Pink,14,control,Post1,13/03/2024,8.1,5.8,,25,1810.498,91.5913,5.33866,15,100.767,21,33.0329
C_14_4,Pink,C_14_4_Pink,14,control,Post2,16/03/2024,8.1,5.8,,22,2732.62,250.917,12.1788,52,277.944,88,111.111
C_14_4,Pink,C_14_4_Pink,14,control,Post3,19/03/2024,8.1,5.8,,24,1177.72,148.148,35.2018,13,186.352,22,64.0639
C_14_4,Pink,C_14_4_Pink,14,control,Post4,22/03/2024,8.1,5.8,,18,1839.529,115.115,12.6793,27,133.8,38,70.0699
C_14_4,Yellow,C_14_4_Yellow,14,control,Pre1,16/02/2024,8.5,6.6,,18,3021.83,256.923,6.00599,19,267.767,37,51.3846
C_14_4,Yellow,C_14_4_Yellow,14,control,Pre2,19/02/2024,8.5,6.6,,27,2712.65,309.976,16.6833,28,331.664,55,87.2538
C_14_4,Yellow,C_14_4_Yellow,14,control,Pre3,22/02/2024,8.5,6.6,,26,2940.58,328.828,28.1948,46,366.366,78,127.794
C_14_4,Yellow,C_14_4_Yellow,14,control,Pre4,25/02/2024,8.5,6.6,,97,2307.23,273.106,23.023,32,304.137,55,98.0979
C_14_4,Yellow,C_14_4_Yellow,14,control,Post1,13/03/2024,8.5,6.6,,26,1529.97,200.7,28.5285,20,233.4,32,41.2078
C_14_4,Yellow,C_14_4_Yellow,14,control,Post2,16/03/2024,8.5,6.6,,23,1300.35,129.129,5.005,19,138.972,33,39.2058
C_14_4,Yellow,C_14_4_Yellow,14,control,Post3,19/03/2024,8.5,6.6,,Never Leaves,0,0,0,0,0,0,0
C_14_4,Yellow,C_14_4_Yellow,14,control,Post4,22/03/2024,8.5,6.6,,MISSING,NA,NA,NA,NA,NA,NA,NA
C_14_5,Blue,C_14_5_Blue,14,control,Pre1,16/02/2024,6.7,2.9,,21,16.3087,3.16983,0.166833,1,3.50349,2,2.66933
C_14_5,Blue,C_14_5_Blue,14,control,Pre2,19/02/2024,6.7,2.9,,31,0,0,0,0,0,0,0
C_14_5,Blue,C_14_5_Blue,14,control,Pre3,22/02/2024,6.7,2.9,,31,1060.4,88.0879,1.83516,24,95.2618,37,39.7063
C_14_5,Blue,C_14_5_Blue,14,control,Pre4,25/02/2024,6.7,2.9,,101,326.033,30.03,1.33466,6,33.033,10,9.34266
C_14_5,Blue,C_14_5_Blue,14,control,Post1,13/03/2024,6.7,2.9,,Never Leaves,0,0,0,0,0,0,0
C_14_5,Blue,C_14_5_Blue,14,control,Post2,16/03/2024,6.7,2.9,,Never Leaves,0,0,0,0,0,0,0
C_14_5,Blue,C_14_5_Blue,14,control,Post3,19/03/2024,6.7,2.9,,29,907.231,69.0689,1.001,15,72.5724,27,25.3586
